ppm,time
910.80008,740
911.2038215,741
911.607563,742
912.0113044,743
912.4150459,744
912.8187874,745
913.2225289,746
913.6262704,747
914.0300118,748
914.4337533,749
914.8374948,750
915.2412363,751
915.6449759,752
916.0487174,753
916.4524589,754
916.8562004,755
917.2599418,756
917.6636833,757
918.0674248,758
918.4711663,759
918.8749078,760
919.2786492,761
919.6823907,762
920.0861322,763
920.4898737,764
920.8936133,765
921.2973548,766
921.7010963,767
922.1048378,768
922.5085792,769
922.9123207,770
923.3160622,771
924.0427966,772
924.769531,773
925.4962654,774
926.2229998,775
926.9497343,776
927.6764685,777
928.4032032,778
929.1299374,779
929.8566717,780
930.5834063,781
931.310141,782
932.0368748,783
932.7636095,784
933.4903442,785
934.217078,786
934.9438127,787
935.6705473,788
936.3972812,789
937.1240158,790
937.8507505,791
938.5774852,792
939.3042198,793
940.0309528,794
940.7576875,795
941.4844222,796
942.2111568,797
942.9378915,798
943.6646262,799
944.3913591,800
945.1180938,801
945.8448285,802
946.5715631,803
947.2982978,804
948.0250325,805
948.7517671,806
949.4785001,807
950.2052348,808
950.9319695,809
951.6587041,810
952.3854388,811
953.1121735,812
953.8389081,813
954.5656428,814
955.2923775,815
956.0191088,816
956.7458435,817
957.4725781,818
958.1993128,819
958.9260474,820
959.6527821,821
960.3795168,822
961.1062514,823
961.8329861,824
962.5597208,825
963.2864554,826
964.0131901,827
964.7399248,828
965.4666561,829
966.1933908,830
966.9201254,831
967.6468601,832
968.3735948,833
969.1003294,834
969.8270641,835
970.5537988,836
971.2805334,837
972.0072681,838
972.7340027,839
973.4607374,840
974.1874721,841
974.9142034,842
975.6409381,843
976.3676727,844
977.0944074,845
977.8211421,846
978.5478767,847
979.2746114,848
979.8398493,849
980.4050871,850
980.970325,851
981.5355629,852
982.1008008,853
982.6660385,854
983.2312766,855
983.7965143,856
984.3617521,857
984.9269901,858
985.4922282,859
986.0574656,860
986.6227037,861
987.1879417,862
987.7531792,863
988.3184172,864
988.8836553,865
989.4488927,866
990.0141308,867
990.5793689,868
991.1446069,869
991.709845,870
992.2750818,871
992.8403198,872
993.4055579,873
993.970796,874
994.536034,875
995.1012721,876
995.6665089,877
996.2317469,878
996.796985,879
997.3622231,880
997.9274611,881
998.4926992,882
999.0579373,883
999.623174,884
1000.188412,885
1000.75365,886
1001.318888,887
1001.884126,888
1002.449364,889
1003.014602,890
1003.579841,891
1004.145079,892
1004.710314,893
1005.275552,894
1005.84079,895
1006.406028,896
1006.971266,897
1007.536504,898
1008.101742,899
1008.666981,900
1009.232219,901
1009.797457,902
1010.362695,903
1010.927933,904
1011.493171,905
1012.058406,906
1012.623644,907
1013.188882,908
1013.754121,909
1014.319359,910
1014.884597,911
1015.449835,912
1016.015073,913
1016.580311,914
1017.145549,915
1017.710787,916
1018.276025,917
1018.841263,918
1019.406499,919
1019.971737,920
1020.536975,921
1021.102213,922
1021.667451,923
1022.232689,924
1022.797927,925
1022.394186,926
1021.990444,927
1021.586703,928
1021.182962,929
1020.77922,930
1020.375479,931
1019.971738,932
1019.567996,933
1019.164255,934
1018.760514,935
1018.356772,936
1017.953031,937
1017.54929,938
1017.145548,939
1016.741807,940
1016.338066,941
1015.934324,942
1015.530583,943
1015.126842,944
1014.7231,945
1014.319359,946
1013.915617,947
1013.511877,948
1013.108135,949
1012.704394,950
1012.300652,951
1011.896911,952
1011.493169,953
1011.089429,954
1010.685687,955
1010.281946,956
1009.878204,957
1009.474463,958
1009.070722,959
1008.66698,960
1008.263239,961
1007.859498,962
1007.455757,963
1007.052015,964
1006.648274,965
1006.244532,966
1005.840791,967
1005.437049,968
1005.033308,969
1004.629568,970
1004.225827,971
1003.822085,972
1003.418344,973
1003.014602,974
1002.610861,975
1002.207119,976
1001.803378,977
1001.399636,978
1000.995895,979
1000.592153,980
1000.188412,981
999.7846704,982
999.3809308,983
998.9771893,984
998.5734478,985
